name,method,backbone,mcc,accuracy,eval_loss,trainable_params,total_params,effective_rank,seconds
lora,lora,deberta,0.6222243289325925,0.84375,0.387900764180813,1346144,185769826,8.0,90.93329143099982
adalora,adalora,deberta,0.6012311929301364,0.8359375,0.3970894578960724,1346144,185769826,4.0,97.71048145299937
sora,sora,deberta,0.6222243289325925,0.84375,0.387289333390072,1346144,185769826,8.0,99.70812783300062
sora_proximal,sora,deberta,0.6222243289325925,0.84375,0.387289333390072,1346144,185769826,8.0,104.58161998700052
sora_sgd_l1,sora,deberta,0.619465615835713,0.8427734375,0.3894061478204094,1346144,185769826,8.0,97.78628668799865
xlstm_sora,sora,xlstm,-0.020208448851021216,0.638671875,0.6718602320179343,536,8223010,8.0,4.6099655460002396
mamba_sora,sora,mamba,0.0,0.6884765625,0.6273432802408934,12704,8262562,8.0,6.198340549999557
