name,method,backbone,mcc,accuracy,eval_loss,trainable_params,total_params,effective_rank,seconds
lora,lora,deberta,0.0,0.693359375,0.5618479056283832,1346144,185769826,8.0,17.446989182000834
adalora,adalora,deberta,0.0,0.693359375,0.6078075896948576,1346144,185769826,4.0,15.409346883998296
sora,sora,deberta,0.0,0.693359375,0.5615506870672107,1346144,185769826,8.0,16.657267876998958
sora_proximal,sora,deberta,0.0,0.693359375,0.5615506870672107,1346144,185769826,8.0,16.803937812001095
sora_sgd_l1,sora,deberta,0.0,0.693359375,0.5623562093824148,1346144,185769826,8.0,18.408364205000908
xlstm_sora,sora,xlstm,-0.04356110416520546,0.64453125,0.6512619154527783,536,8223010,8.0,4.494360831000449
mamba_sora,sora,mamba,0.0,0.693359375,0.626836633309722,12704,8262562,8.0,6.359906190999027
