name,context,attention,position,conv,train_loss,val_loss,ppl,epoch_seconds,train_tps,infer_tps,peak_memory_mb,stable
position_learned_train512_eval512,512,standard,learned,none,,0.012233493267558515,1.0123086285225962,,,74444.8003214617,976.4296875,True
position_learned_train512_eval1024,1024,standard,learned,none,,0.20940891839563847,1.2329490710169988,,,66376.28016403592,976.4296875,True
position_learned_train512_eval2048,2048,standard,learned,none,,0.31530945375561714,1.3706834084628403,,,52032.411098014476,976.4296875,True
position_rope_train512_eval512,512,standard,rope,none,,0.002743838675087318,1.0027476064456882,,,57867.311808049366,973.42578125,True
position_rope_train512_eval1024,1024,standard,rope,none,,0.0029626275063492358,1.002967020424342,,,66097.66410764969,973.42578125,True
position_rope_train512_eval2048,2048,standard,rope,none,,0.0032049088331405073,1.0032100500443588,,,53786.86418976774,973.42578125,True
position_alibi_train512_eval512,512,standard,alibi,none,,0.002782682015094906,1.0027865572683923,,,75255.82294672735,971.92578125,True
position_alibi_train512_eval1024,1024,standard,alibi,none,,0.002335595156182535,1.002338324783237,,,74910.01413984918,971.92578125,True
position_alibi_train512_eval2048,2048,standard,alibi,none,,0.00211179067264311,1.0021140220730393,,,48895.16642785321,971.92578125,True
position_relative_train512_eval512,512,standard,relative,none,,0.0030237839673645794,1.0030283602134693,,,69559.35304657447,982.806640625,True
position_relative_train512_eval1024,1024,standard,relative,none,,0.0028636716888286173,1.0028677759133815,,,51703.85536283837,982.806640625,True
position_relative_train512_eval2048,2048,standard,relative,none,,0.017698789481073618,1.0178563411745183,,,30414.024797895316,982.806640625,True
